***SESSION HEADER***
{
    "Participant": "0",
    "Timestamp": "17-19-59-02-04-2026"
}
---SESSION HEADER---
time; camera.position; camera.direction; hand.position; hand.direction; input; fps
127.638286; (156.344, 28.389, 20.048); (20.586, 306.843, 357.757); (156.298, 27.987, 20.260); (359.940, 308.039, 339.583); [R_Axis0,R_PadTouch]; 22.849964
127.639288; (156.344, 28.389, 20.048); (20.586, 306.843, 357.757); (156.298, 27.987, 20.260); (359.940, 308.039, 339.583); [R_Axis0,R_PadTouch]; 22.849964
127.681205; (156.351, 28.385, 20.040); (21.269, 296.803, 356.679); (156.280, 27.985, 20.254); (1.976, 302.110, 333.483); [R_Axis0,R_PadTouch]; 22.617683
127.682207; (156.351, 28.385, 20.040); (21.269, 296.803, 356.679); (156.280, 27.985, 20.254); (1.976, 302.110, 333.483); [R_Axis0,R_PadTouch]; 22.617683
127.739401; (156.356, 28.383, 20.037); (22.259, 292.899, 356.992); (156.275, 27.983, 20.250); (2.367, 299.612, 333.349); [R_Axis0,R_PadTouch]; 22.751493
127.740698; (156.356, 28.383, 20.037); (22.259, 292.899, 356.992); (156.275, 27.983, 20.250); (2.367, 299.612, 333.349); [R_Axis0,R_PadTouch]; 22.751493
127.741700; (156.356, 28.383, 20.037); (22.259, 292.899, 356.992); (156.275, 27.983, 20.250); (2.367, 299.612, 333.349); [R_Axis0,R_PadTouch]; 22.751493
127.787210; (156.367, 28.380, 20.037); (23.596, 288.321, 358.021); (156.268, 27.973, 20.248); (5.213, 297.837, 331.059); [R_Axis0,R_PadTouch]; 21.410431
127.788620; (156.367, 28.380, 20.037); (23.596, 288.321, 358.021); (156.268, 27.973, 20.248); (5.213, 297.837, 331.059); [R_Axis0,R_PadTouch]; 21.410431
127.834572; (156.373, 28.380, 20.038); (23.995, 286.875, 358.439); (156.266, 27.971, 20.249); (5.338, 297.650, 332.741); [R_Axis0,R_PadTouch]; 21.296112
127.836536; (156.373, 28.380, 20.038); (23.995, 286.875, 358.439); (156.266, 27.971, 20.249); (5.338, 297.650, 332.741); [R_Axis0,R_PadTouch]; 21.296112
127.890680; (156.383, 28.379, 20.042); (24.668, 284.448, 358.622); (156.265, 27.968, 20.251); (5.603, 296.557, 333.053); [R_Axis0,R_PadTouch]; 21.191397
127.892188; (156.383, 28.379, 20.042); (24.668, 284.448, 358.622); (156.265, 27.968, 20.251); (5.603, 296.557, 333.053); [R_Axis0,R_PadTouch]; 21.191397
127.893202; (156.383, 28.379, 20.042); (24.668, 284.448, 358.622); (156.265, 27.968, 20.251); (5.603, 296.557, 333.053); [R_Axis0,R_PadTouch]; 21.191397
127.948644; (156.390, 28.379, 20.043); (25.065, 279.911, 357.698); (156.263, 27.965, 20.251); (6.277, 294.380, 331.452); [R_Axis0,R_PadTouch]; 20.491741
127.950680; (156.390, 28.379, 20.043); (25.065, 279.911, 357.698); (156.263, 27.965, 20.251); (6.277, 294.380, 331.452); [R_Axis0,R_PadTouch]; 20.491741
128.003591; (156.394, 28.379, 20.044); (25.422, 277.910, 357.591); (156.261, 27.964, 20.249); (6.197, 292.794, 332.673); [R_Axis0,R_PadTouch]; 19.814075
128.005605; (156.394, 28.379, 20.044); (25.422, 277.910, 357.591); (156.261, 27.964, 20.249); (6.197, 292.794, 332.673); [R_Axis0,R_PadTouch]; 19.814075
128.006607; (156.394, 28.379, 20.044); (25.422, 277.910, 357.591); (156.261, 27.964, 20.249); (6.197, 292.794, 332.673); [R_Axis0,R_PadTouch]; 19.814075
128.063259; (156.399, 28.378, 20.043); (25.280, 274.781, 356.708); (156.259, 27.963, 20.245); (5.842, 290.866, 332.958); [R_Axis0,R_PadTouch]; 19.361813
128.064261; (156.399, 28.378, 20.043); (25.280, 274.781, 356.708); (156.259, 27.963, 20.245); (5.842, 290.866, 332.958); [R_Axis0,R_PadTouch]; 19.361813
128.066023; (156.399, 28.378, 20.043); (25.280, 274.781, 356.708); (156.259, 27.963, 20.245); (5.842, 290.866, 332.958); [R_Axis0,R_PadTouch]; 19.361813
128.119860; (156.403, 28.378, 20.040); (25.209, 273.605, 355.957); (156.256, 27.963, 20.238); (5.034, 288.619, 334.782); [R_Axis0,R_PadTouch]; 18.831865
128.120861; (156.403, 28.378, 20.040); (25.209, 273.605, 355.957); (156.256, 27.963, 20.238); (5.034, 288.619, 334.782); [R_Axis0,R_PadTouch]; 18.831865
128.176435; (156.404, 28.379, 20.036); (24.716, 273.430, 355.165); (156.254, 27.964, 20.229); (3.648, 287.774, 336.632); [R_Axis0,R_PadTouch]; 18.623318
128.178509; (156.404, 28.379, 20.036); (24.716, 273.430, 355.165); (156.254, 27.964, 20.229); (3.648, 287.774, 336.632); [R_Axis0,R_PadTouch]; 18.623318
128.179511; (156.404, 28.379, 20.036); (24.716, 273.430, 355.165); (156.254, 27.964, 20.229); (3.648, 287.774, 336.632); [R_Axis0,R_PadTouch]; 18.623318
128.234056; (156.405, 28.380, 20.032); (24.606, 273.509, 355.163); (156.252, 27.965, 20.224); (4.183, 287.235, 336.661); [R_PadTouch]; 18.336067
128.236070; (156.405, 28.380, 20.032); (24.606, 273.509, 355.163); (156.252, 27.965, 20.224); (4.183, 287.235, 336.661); [R_PadTouch]; 18.336067
128.291302; (156.403, 28.383, 20.024); (24.559, 273.252, 356.171); (156.248, 27.963, 20.214); (6.485, 286.786, 334.838); []; 18.184484
128.293314; (156.403, 28.383, 20.024); (24.559, 273.252, 356.171); (156.248, 27.963, 20.214); (6.485, 286.786, 334.838); []; 18.184484
128.294316; (156.403, 28.383, 20.024); (24.559, 273.252, 356.171); (156.248, 27.963, 20.214); (6.485, 286.786, 334.838); []; 18.184484
128.350273; (156.400, 28.385, 20.016); (24.774, 271.181, 356.912); (156.239, 27.964, 20.199); (7.887, 283.994, 338.157); []; 17.989271
128.350778; (156.400, 28.385, 20.016); (24.774, 271.181, 356.912); (156.239, 27.964, 20.199); (7.887, 283.994, 338.157); []; 17.989271
128.406175; (156.398, 28.385, 20.011); (24.944, 269.628, 356.815); (156.234, 27.964, 20.193); (9.672, 282.788, 338.683); []; 17.875271
128.408511; (156.398, 28.385, 20.011); (24.944, 269.628, 356.815); (156.234, 27.964, 20.193); (9.672, 282.788, 338.683); []; 17.875271
128.409513; (156.398, 28.385, 20.011); (24.944, 269.628, 356.815); (156.234, 27.964, 20.193); (9.672, 282.788, 338.683); []; 17.875271
128.463929; (156.394, 28.381, 20.003); (25.582, 266.909, 356.019); (156.223, 27.971, 20.182); (6.380, 282.028, 337.957); []; 17.755730
128.466086; (156.394, 28.381, 20.003); (25.582, 266.909, 356.019); (156.223, 27.971, 20.182); (6.380, 282.028, 337.957); []; 17.755730
128.467099; (156.394, 28.381, 20.003); (25.582, 266.909, 356.019); (156.223, 27.971, 20.182); (6.380, 282.028, 337.957); []; 17.755730
128.519144; (152.646, 28.232, 21.340); (26.393, 264.944, 355.846); (152.465, 27.827, 21.510); (6.630, 279.644, 337.615); []; 17.664963
128.520895; (152.646, 28.232, 21.340); (26.393, 264.944, 355.846); (152.465, 27.827, 21.510); (6.630, 279.644, 337.615); []; 17.664963
