***SESSION HEADER***
{
    "Participant": "0",
    "Timestamp": "17-19-59-02-04-2026"
}
---SESSION HEADER---
time; camera.position; camera.direction; hand.position; hand.direction; input; fps
20.901364; (22.859, 27.916, 10.150); (10.903, 355.865, 342.718); (22.232, 27.619, 10.482); (344.662, 2.549, 10.552); [L_OuterFaceButton]; Infinity
20.903376; (22.859, 27.916, 10.150); (10.903, 355.865, 342.718); (22.232, 27.619, 10.482); (344.662, 2.549, 10.552); [L_OuterFaceButton]; Infinity
20.936833; (22.865, 27.919, 10.148); (13.762, 357.121, 341.205); (22.230, 27.618, 10.482); (344.692, 1.994, 12.866); []; 115.389740
20.976625; (22.873, 27.921, 10.148); (12.888, 357.314, 341.486); (22.227, 27.618, 10.482); (344.743, 1.402, 15.382); []; 66.306725
20.979240; (22.873, 27.921, 10.148); (12.888, 357.314, 341.486); (22.227, 27.618, 10.482); (344.743, 1.402, 15.382); []; 66.306725
21.014706; (22.891, 27.904, 10.155); (6.975, 355.036, 348.172); (22.225, 27.618, 10.483); (344.833, 1.114, 16.940); []; 48.869114
21.015708; (22.891, 27.904, 10.155); (6.975, 355.036, 348.172); (22.225, 27.618, 10.483); (344.833, 1.114, 16.940); []; 48.869114
21.054592; (22.899, 27.893, 10.158); (5.655, 353.237, 351.926); (22.227, 27.618, 10.483); (344.718, 1.816, 14.542); []; 41.836735
21.056710; (22.899, 27.893, 10.158); (5.655, 353.237, 351.926); (22.227, 27.618, 10.483); (344.718, 1.816, 14.542); []; 41.836735
21.094364; (22.903, 27.882, 10.162); (7.472, 351.494, 355.133); (22.229, 27.618, 10.483); (344.693, 2.174, 12.663); []; 37.021584
21.095584; (22.903, 27.882, 10.162); (7.472, 351.494, 355.133); (22.229, 27.618, 10.483); (344.693, 2.174, 12.663); []; 37.021584
21.133088; (22.903, 27.871, 10.166); (7.865, 350.987, 356.109); (22.230, 27.618, 10.483); (344.722, 2.334, 11.890); []; 33.819710
21.172776; (22.901, 27.864, 10.170); (7.966, 349.214, 356.662); (22.231, 27.618, 10.482); (344.727, 2.397, 11.641); []; 31.898388
21.174950; (22.901, 27.864, 10.170); (7.966, 349.214, 356.662); (22.231, 27.618, 10.482); (344.727, 2.397, 11.641); []; 31.898388
21.211397; (22.889, 27.856, 10.178); (9.181, 347.529, 355.130); (22.230, 27.618, 10.483); (344.754, 2.190, 12.543); []; 30.078646
21.212400; (22.889, 27.856, 10.178); (9.181, 347.529, 355.130); (22.230, 27.618, 10.483); (344.754, 2.190, 12.543); []; 30.078646
21.252264; (22.879, 27.856, 10.182); (10.019, 346.717, 353.708); (22.229, 27.618, 10.482); (344.769, 1.975, 13.445); []; 29.211458
21.253266; (22.879, 27.856, 10.182); (10.019, 346.717, 353.708); (22.229, 27.618, 10.482); (344.769, 1.975, 13.445); []; 29.211458
21.291261; (22.869, 27.858, 10.187); (9.972, 345.913, 351.316); (22.228, 27.618, 10.482); (344.768, 1.767, 14.314); []; 28.284788
21.330560; (22.857, 27.860, 10.191); (10.203, 345.446, 349.523); (22.228, 27.618, 10.483); (344.794, 1.664, 14.759); []; 27.610783
21.332574; (22.857, 27.860, 10.191); (10.203, 345.446, 349.523); (22.228, 27.618, 10.483); (344.794, 1.664, 14.759); []; 27.610783
21.368994; (22.846, 27.861, 10.196); (9.286, 344.596, 349.563); (22.228, 27.618, 10.483); (344.800, 1.713, 14.546); []; 27.122847
21.371007; (22.846, 27.861, 10.196); (9.286, 344.596, 349.563); (22.228, 27.618, 10.483); (344.800, 1.713, 14.546); []; 27.122847
21.412811; (22.835, 27.861, 10.200); (6.938, 343.471, 349.140); (22.229, 27.618, 10.483); (344.793, 1.897, 13.767); []; 26.822315
21.414903; (22.835, 27.861, 10.200); (6.938, 343.471, 349.140); (22.229, 27.618, 10.483); (344.793, 1.897, 13.767); []; 26.822315
21.450371; (22.817, 27.858, 10.204); (4.019, 339.564, 351.028); (22.229, 27.618, 10.483); (344.798, 1.990, 13.336); []; 26.587507
21.451437; (22.817, 27.858, 10.204); (4.019, 339.564, 351.028); (22.229, 27.618, 10.483); (344.798, 1.990, 13.336); []; 26.587507
21.489114; (22.808, 27.856, 10.204); (2.900, 336.730, 352.118); (22.229, 27.618, 10.483); (344.792, 1.915, 13.621); []; 26.306679
21.526258; (22.799, 27.854, 10.203); (2.228, 334.585, 354.268); (22.229, 27.618, 10.482); (344.794, 1.828, 13.977); []; 26.124716
21.528982; (22.799, 27.854, 10.203); (2.228, 334.585, 354.268); (22.229, 27.618, 10.482); (344.794, 1.828, 13.977); []; 26.124716
21.566432; (22.792, 27.851, 10.199); (0.940, 332.745, 355.085); (22.228, 27.618, 10.483); (344.812, 1.772, 14.187); []; 25.958908
21.569456; (22.792, 27.851, 10.199); (0.940, 332.745, 355.085); (22.228, 27.618, 10.483); (344.812, 1.772, 14.187); []; 25.958908
21.606744; (22.787, 27.851, 10.193); (0.554, 330.947, 354.980); (22.228, 27.618, 10.483); (344.797, 1.814, 14.062); []; 25.823288
21.607745; (22.787, 27.851, 10.193); (0.554, 330.947, 354.980); (22.228, 27.618, 10.483); (344.797, 1.814, 14.062); []; 25.823288
21.645750; (22.780, 27.850, 10.174); (1.389, 327.584, 353.952); (22.229, 27.618, 10.483); (344.806, 1.918, 13.577); []; 25.797167
21.687371; (22.780, 27.849, 10.165); (2.324, 325.743, 353.383); (22.229, 27.618, 10.483); (344.803, 1.907, 13.654); []; 25.700415
21.690430; (22.780, 27.849, 10.165); (2.324, 325.743, 353.383); (22.229, 27.618, 10.483); (344.803, 1.907, 13.654); []; 25.700415
21.724381; (22.780, 27.843, 10.157); (0.090, 323.752, 355.170); (22.229, 27.617, 10.483); (344.801, 1.843, 13.910); []; 25.184156
21.726897; (22.780, 27.843, 10.157); (0.090, 323.752, 355.170); (22.229, 27.617, 10.483); (344.801, 1.843, 13.910); []; 25.184156
21.765368; (22.784, 27.839, 10.151); (1.831, 319.497, 355.937); (22.229, 27.618, 10.483); (344.801, 1.807, 14.021); []; 25.573299
21.767606; (22.784, 27.839, 10.151); (1.831, 319.497, 355.937); (22.229, 27.618, 10.483); (344.801, 1.807, 14.021); []; 25.573299
21.804446; (22.788, 27.834, 10.141); (2.612, 318.104, 356.524); (22.228, 27.618, 10.483); (344.791, 1.825, 13.950); []; 25.444782
21.844194; (22.800, 27.827, 10.120); (3.749, 316.152, 357.599); (22.229, 27.618, 10.483); (344.804, 1.898, 13.671); []; 25.509079
21.845711; (22.800, 27.827, 10.120); (3.749, 316.152, 357.599); (22.229, 27.618, 10.483); (344.804, 1.898, 13.671); []; 25.509079
21.884867; (22.806, 27.822, 10.110); (4.246, 316.503, 358.908); (22.229, 27.618, 10.483); (344.792, 1.879, 13.750); []; 25.284805
21.886880; (22.806, 27.822, 10.110); (4.246, 316.503, 358.908); (22.229, 27.618, 10.483); (344.792, 1.879, 13.750); []; 25.284805
21.934219; (22.811, 27.814, 10.100); (4.943, 316.629, 0.353); (22.229, 27.618, 10.483); (344.783, 1.834, 13.896); []; 25.132288
21.936398; (22.811, 27.814, 10.100); (4.943, 316.629, 0.353); (22.229, 27.618, 10.483); (344.783, 1.834, 13.896); []; 25.132288
21.983117; (22.823, 27.797, 10.077); (7.050, 319.456, 0.545); (22.229, 27.618, 10.483); (344.778, 1.833, 13.859); []; 23.950684
21.985130; (22.823, 27.797, 10.077); (7.050, 319.456, 0.545); (22.229, 27.618, 10.483); (344.778, 1.833, 13.859); []; 23.950684
21.986132; (22.823, 27.797, 10.077); (7.050, 319.456, 0.545); (22.229, 27.618, 10.483); (344.778, 1.833, 13.859); []; 23.950684
22.033257; (22.830, 27.786, 10.065); (8.812, 320.720, 0.430); (22.229, 27.618, 10.483); (344.760, 1.851, 13.759); []; 23.149141
22.034517; (22.830, 27.786, 10.065); (8.812, 320.720, 0.430); (22.229, 27.618, 10.483); (344.760, 1.851, 13.759); []; 23.149141
22.086384; (22.844, 27.761, 10.041); (11.454, 322.937, 358.454); (22.229, 27.618, 10.482); (344.741, 1.830, 13.826); []; 22.526917
22.087792; (22.844, 27.761, 10.041); (11.454, 322.937, 358.454); (22.229, 27.618, 10.482); (344.741, 1.830, 13.826); []; 22.526917
22.127664; (22.852, 27.746, 10.030); (11.572, 323.765, 358.577); (22.229, 27.617, 10.482); (344.756, 1.814, 13.898); []; 21.661642
22.129807; (22.852, 27.746, 10.030); (11.572, 323.765, 358.577); (22.229, 27.617, 10.482); (344.756, 1.814, 13.898); []; 21.661642
22.165865; (22.859, 27.732, 10.019); (11.278, 325.010, 359.764); (22.229, 27.617, 10.483); (344.759, 1.815, 13.890); []; 22.105154
22.167952; (22.859, 27.732, 10.019); (11.278, 325.010, 359.764); (22.229, 27.617, 10.483); (344.759, 1.815, 13.890); []; 22.105154
22.209433; (22.867, 27.716, 10.008); (8.739, 326.349, 1.055); (22.229, 27.618, 10.483); (344.763, 1.835, 13.830); []; 22.749973
22.210944; (22.867, 27.716, 10.008); (8.739, 326.349, 1.055); (22.229, 27.618, 10.483); (344.763, 1.835, 13.830); []; 22.749973
22.249431; (22.886, 27.683, 9.981); (7.769, 329.392, 5.039); (22.229, 27.618, 10.483); (344.755, 1.837, 13.793); []; 23.029060
22.251592; (22.886, 27.683, 9.981); (7.769, 329.392, 5.039); (22.229, 27.618, 10.483); (344.755, 1.837, 13.793); []; 23.029060
22.289195; (22.897, 27.664, 9.967); (8.584, 330.805, 5.964); (22.229, 27.618, 10.482); (344.763, 1.829, 13.840); []; 23.313524
22.329115; (22.908, 27.643, 9.952); (10.469, 332.424, 6.282); (22.229, 27.618, 10.482); (344.749, 1.831, 13.859); []; 23.711557
22.332151; (22.908, 27.643, 9.952); (10.469, 332.424, 6.282); (22.229, 27.618, 10.482); (344.749, 1.831, 13.859); []; 23.711557
22.368262; (22.920, 27.619, 9.937); (11.790, 334.707, 5.101); (22.229, 27.617, 10.483); (344.772, 1.832, 13.839); []; 23.732777
